,name,github_id,labels,category,license,homepage,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,new_addition,trending,pypi_id,pypi_url,pypi_monthly_downloads,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,gitlab_id,gitlab_url
59,FlightGoggles,mit-aera/FlightGoggles,[],aerial,MIT,https://flightgoggles.mit.edu/,https://github.com/mit-aera/FlightGoggles,2017-04-02 21:14:31,2024-04-01 14:38:14.000,2024-04-01 14:38:14,219.0,,96.0,26.0,6.0,20.0,151.0,413.0,2021-05-31 00:18:07,3.0,1574.0,18.0,18.0,A framework for photorealistic hardware-in-the-loop agile flight simulation using Unity3D and ROS. Developed by MIT..,,,9.0,15,True,2.0,,,,,,,,,,,,
60,RaiSim,raisimTech/raisimlib,,physics,Proprietary Software License,https://raisim.com/,https://github.com/raisimTech/raisimLib,2020-09-06 01:58:59,2025-01-07 15:39:06.000,2025-01-07 15:39:01,1131.0,,93.0,13.0,185.0,54.0,343.0,366.0,2022-09-22 00:51:12,1.1.5,216.0,6.0,4.0,Visit www.raisim.com.,,,16.0,15,True,3.0,,True,,,,,,,,,,
61,mvsim,MRPT/mvsim,[],flatsim,BSD-3-Clause,https://github.com/MRPT/mvsim,https://github.com/MRPT/mvsim,2014-08-10 00:24:05,2025-02-05 21:57:25.000,2025-02-05 21:57:09,1209.0,9.0,47.0,9.0,37.0,8.0,20.0,320.0,2024-05-09 10:28:56,0.9.4,,,8.0,Vehicle and mobile robotics simulator. C++ & Python API. Use it as a standalone application or via ROS 1 or ROS 2.,,,9.0,15,True,3.0,https://mvsimulator.readthedocs.io/,,,,,,,,,,,
62,DAVE,Field-Robotics-Lab/dave,,domain,Apache-2.0,https://field-robotics-lab.github.io/dave.doc/,https://github.com/Field-Robotics-Lab/dave,2019-10-02 23:45:04,2024-08-19 01:00:35.000,2023-12-04 08:10:33,771.0,,71.0,7.0,167.0,30.0,100.0,246.0,2022-02-26 01:20:21,4.3.0,,,8.0,Project DAVE.,,,25.0,15,True,2.0,,,,,,,,,,,,
63,rotorpy,spencerfolk/rotorpy,[],aerial,MIT,https://github.com/spencerfolk/rotorpy,https://github.com/spencerfolk/rotorpy,2023-03-15 18:55:42,2025-04-25 20:16:41.000,2025-04-25 20:14:51,209.0,94.0,35.0,5.0,7.0,3.0,10.0,144.0,2025-04-25 20:17:49,2.0.0,2.0,1.0,3.0,A multirotor simulator with aerodynamics for education and research.,,,5.0,15,True,2.0,,,2.0,,,,,,,,,
64,ROS Intergration for unreal,code-iai/ROSIntegration,,eol,MIT,https://github.com/code-iai/ROSIntegration,https://github.com/code-iai/ROSIntegration,2017-08-17 19:46:51,2025-02-11 10:10:58.000,2025-02-11 10:10:58,433.0,1.0,132.0,39.0,86.0,51.0,76.0,430.0,,,,,,Unreal Engine Plugin to enable ROS Support.,,,32.0,14,True,3.0,,,,,,,,,,,,
65,ProcTHOR,allenai/procthor,,ml,Apache-2.0,https://procthor.allenai.org/,https://github.com/allenai/procthor,2022-07-25 20:53:54,2023-04-07 11:02:38.000,2022-12-14 19:21:47,30.0,,27.0,9.0,10.0,42.0,8.0,336.0,2022-08-21 16:32:44,0.0.1,,,3.0,Scaling Embodied AI by Procedurally Generating Interactive 3D Houses.,12.0,12.0,6.0,14,True,3.0,,,,,,,,,,,,
66,CrazyS,gsilano/CrazyS,[],aerial,Apache-2.0,https://github.com/gsilano/CrazyS,https://github.com/gsilano/CrazyS,2018-02-20 14:42:23,2022-08-11 14:59:13.000,2022-08-11 14:57:06,259.0,,84.0,4.0,19.0,9.0,79.0,166.0,2021-12-28 12:17:27,7.0.1,,,27.0,"CrazyS is an extension of the ROS package RotorS, aimed to modeling, developing and integrating the Crazyflie 2.0.",,,3.0,14,True,3.0,,,,,,,,,,,,
67,Stonefish,patrykcieslak/stonefish,,domain,GPL-3.0,https://stonefish.readthedocs.io/,https://github.com/patrykcieslak/stonefish,2019-05-10 08:37:07,2025-04-29 08:55:34.000,2025-04-29 08:55:20,370.0,17.0,34.0,7.0,27.0,7.0,30.0,143.0,2025-03-05 15:05:31,1.4,,,6.0,Stonefish - an advanced C++ simulation library designed for (but not limited to) marine robotics.,,,11.0,14,True,3.0,,,,,,,,,,,,
68,jMAVSim,PX4/jMAVSim,,aerial,BSD-3-Clause,https://github.com/PX4/jMAVSim,https://github.com/PX4/jMAVSim,2015-06-13 23:11:25,2024-07-03 08:23:19.000,2021-12-17 09:22:41,382.0,,211.0,37.0,79.0,16.0,36.0,93.0,,,,,,Simple multirotor simulator with MAVLink protocol support.,,,28.0,14,True,3.0,,,,,,,,,,,,
69,Unity Rendering Plugin,Unity-Technologies/NativeRenderingPlugin,[],render,MIT,https://docs.unity3d.com/Manual/NativePluginInterface.html,https://github.com/Unity-Technologies/NativeRenderingPlugin,2019-09-03 06:35:55,2024-12-04 17:43:14.000,2024-08-05 15:24:50,145.0,,170.0,532.0,19.0,25.0,3.0,872.0,,,,,,C++ Rendering Plugin example for Unity.,,,12.0,13,True,3.0,,,,,,,,,,,,
70,Flatland,avidbots/flatland,,flatsim,BSD-3-Clause,https://flatland-simulator.readthedocs.io/,https://github.com/avidbots/flatland,2017-08-15 16:22:15,2025-02-14 16:40:05.000,2024-05-07 21:05:02,796.0,,41.0,9.0,83.0,13.0,13.0,116.0,2023-11-22 22:40:54,1.4.0,,,2.0,A 2D robot simulator for ROS.,,,14.0,13,True,3.0,,,,,,,,,,,,
71,RoboCasa,robocasa/robocasa,,ml,mit,https://robocasa.ai/,https://github.com/robocasa/robocasa,2024-05-11 11:14:03,2025-04-29 01:36:05.000,2025-04-23 03:15:37,47.0,3.0,72.0,11.0,15.0,25.0,102.0,740.0,,,,,,RoboCasa: Large-Scale Simulation of Everyday Tasks for Generalist Robots.,,,,12,True,3.0,,,,,,,,,,,,
72,Deepdrive,deepdrive/deepdrive,,ml,,https://deepdrive.io/,https://github.com/deepdrive/deepdrive,2017-11-21 17:28:45,2023-10-03 21:34:17.000,2020-06-29 19:31:52,831.0,,148.0,61.0,19.0,35.0,29.0,913.0,2018-05-17 21:36:53,2.0,,,1.0,Deepdrive is a simulator that allows anyone with a PC to push the state-of-the-art in self-driving.,,,6.0,11,True,3.0,,,,,,,,,,,,
73,PyBullet Gym,benelot/pybullet-gym,[],ml,MIT,https://pybullet.org/,https://github.com/benelot/pybullet-gym,2018-01-05 12:35:57,2021-10-16 08:35:41.000,2021-03-29 09:19:09,64.0,,120.0,9.0,20.0,30.0,27.0,848.0,,,,,,Open-source implementations of OpenAI Gym MuJoCo environments for use with the OpenAI Gym Reinforcement Learning..,,,14.0,11,True,3.0,,,,,,,,,,,,
74,ODE,thomasmarsh/ODE,[],physics,gnu-gpl and BSD-3-clause,http://www.ode.org/,https://github.com/thomasmarsh/ODE,2017-05-01 14:50:07,2024-01-17 15:31:06.000,2024-01-14 01:09:11,2099.0,,33.0,6.0,,1.0,1.0,161.0,,,,,,Open Dynamics Engine (ODE) github mirror from https://bitbucket.org/odedevs/ode.,,,34.0,11,True,3.0,,,,,,,,,,,,
75,CoppeliaSim core library,CoppeliaRobotics/coppeliaSimLib,[],robotics,gnu-gpl,http://coppeliarobotics.com/,https://github.com/CoppeliaRobotics/coppeliaSimLib,2019-09-27 09:21:56,2025-04-28 07:31:33.000,2025-04-28 07:31:25,920.0,33.0,42.0,7.0,5.0,3.0,18.0,117.0,,,,,,CoppeliaSim core library.,,,3.0,11,True,3.0,,,,,,,,,,,,
76,UWSim,uji-ros-pkg/underwater_simulation,,others,,https://www.irs.uji.es/uwsim/wiki/index.php?title=Installing_UWSim,https://github.com/uji-ros-pkg/underwater_simulation,2013-04-08 16:49:12,2022-05-27 01:45:56.000,2020-03-15 12:35:06,445.0,,61.0,25.0,31.0,18.0,39.0,107.0,,,,,,"UWSim-NET, the Underwater Simulator.",,,25.0,11,True,3.0,,True,,,,,,,,,,
77,Arnold,arnold-benchmark/arnold,,ml,MIT,https://arnold-benchmark.github.io/,https://github.com/arnold-benchmark/arnold,2023-04-10 03:41:38,2025-03-16 18:21:08.000,2024-04-01 12:58:11,19.0,,15.0,5.0,,5.0,45.0,165.0,,,,,,[ICCV 2023] Official code repository for ARNOLD benchmark.,,,3.0,10,True,3.0,,,,,,,,,,,,
78,OmiLRS,OmniLRS/OmniLRS,,domain,BSD 3-Clause,https://github.com/OmniLRS/OmniLRS/wiki,https://github.com/OmniLRS/OmniLRS,2023-09-04 08:12:13,2025-04-28 01:49:09.000,2025-04-03 06:56:40,492.0,2.0,19.0,6.0,31.0,4.0,12.0,90.0,,,,,,Omniverse Lunar Robotics Simulator.,,,6.0,9,True,3.0,,,-1.0,,,,,,,,,
79,Ocean Sim,umfieldrobotics/OceanSim,,domain,BSD 3-Clause,https://projectchrono.org,https://github.com/umfieldrobotics/OceanSim,2025-02-17 17:50:19,2025-04-24 21:40:15.000,2025-04-24 21:40:15,9.0,9.0,18.0,10.0,1.0,1.0,,194.0,,,,,,OceanSim: A GPU-Accelerated Underwater Robot Perception Simulation Framework [Preprint].,,,3.0,8,True,3.0,,True,,,,,,,,,,
80,Robwork,,,robotics,apache-2,http://robwork.dk/,,2016-04-07 10:41:55,2016-04-07 10:41:55.000,,,,39.0,,,17.0,94.0,33.0,,,,,0.0,"RobWork is a collection of C++ libraries for simulation and control of robot systems, see http://robwork.dk To get..",,,,8,True,3.0,,,,,,,,,,,sdurobotics/RobWork,https://gitlab.com/sdurobotics/RobWork
81,Flightgear,,[],aerial,gnu-gpl2,https://www.flightgear.org/,,2015-03-04 07:33:36,2015-03-04 07:33:36.000,,,,32.0,,,160.0,103.0,46.0,,,,,0.0,FlightGear open-source flight simulator [flightgear.org](https://www.flightgear.org).,,,,7,True,3.0,,,,,,,,,,,flightgear/flightgear,https://gitlab.com/flightgear/flightgear
82,Stewart Platform Simulator,rawify/Stewart.js,,domain,MIT,https://raw.org/research/inverse-kinematics-of-a-stewart-platform/,https://github.com/rawify/Stewart.js,2019-02-16 20:09:30,2024-10-09 07:13:18.000,2024-10-09 07:13:14,33.0,,15.0,2.0,,,1.0,37.0,,,,,,The RAW inverse kinematics library for Stewart Platforms written in JavaScript.,4.0,4.0,,7,True,3.0,,,,,,,,,,,,
83,RotorTM,arplaboratory/RotorTM,[],aerial,GPL-3.0,https://github.com/arplaboratory/RotorTM,https://github.com/arplaboratory/RotorTM,2021-12-28 23:49:46,2024-06-09 13:19:43.000,2024-06-09 13:19:43,205.0,,14.0,3.0,8.0,2.0,2.0,68.0,,,,,,,,,3.0,6,True,3.0,,,,,,,,,,,,
84,SimSpark,,,robotics,Missing,https://gitlab.com/robocup-sim/SimSpark,,2017-10-13 09:44:12,2017-10-13 09:44:12.000,2025-01-21,,,8.0,,,29.0,27.0,20.0,,,,,36.0,A generic physical simulator.,,,,6,True,3.0,,,,,,,,,,,robocup-sim/SimSpark,https://gitlab.com/robocup-sim/SimSpark
85,LunarSim,PUTvision/LunarSim,,domain,Missing,https://github.com/PUTvision/LunarSim,https://github.com/PUTvision/LunarSim,2023-01-10 15:29:03,2023-12-07 12:15:43.000,2023-12-07 12:15:43,10.0,,6.0,5.0,1.0,2.0,2.0,31.0,2023-06-16 07:43:42,0.1.0,285.0,12.0,1.0,LunarSim: Lunar Rover Simulator Focused on High Visual Fidelity and ROS 2 Integration for Advanced Computer Vision..,,,2.0,5,True,3.0,,,,,,,,,,,,
86,AGX Dynamics by Algoryx,,,physics,Proprietary Software License,https://www.algoryx.se/agx-dynamics/,,,,,,,,,,,,,,,,,,"AGX Dynamics, by Algoryx, is a modular physics simulation toolkit available in C++, C# and Python, on Windows, Mac and..",,,,2,True,3.0,,,,,,,,,,,,
87,CoppeliaSim,,[],robotics,Proprietary Software License,http://coppeliarobotics.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
88,NVIDIA Isaac Sim,,[],robotics,NVIDIA Omniverse License Agreement,https://developer.nvidia.com/isaac/sim,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
89,Matlab UAV Toolbox,,[],aerial,MathWorks Software License Agreement,https://www.mathworks.com/products/uav.html,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
90,Realflight,,[],aerial,proprietary software license,https://www.realflight.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
91,Unity,,[],game,Unity Subscription Plans,https://unity.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
92,RobotBuilder,,[],robotics,Commercial software,https://new.abb.com/products/robotics/software-and-digital/robotstudio,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
93,Vortex,,[],physics,EULA,https://www.cm-labs.com/en/vortex-studio/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
94,Newton Dynamics,newton-dynamics/newton-dynamics,[],physics,zlib,http://newtondynamics.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
95,Havok Physics,,[],physics,Per-title licensing model,https://www.havok.com/havok-physics/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
96,Unreal Engine,,[],game,EULA,https://www.unrealengine.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
97,Simbad,,,eol,GNU-gpl2,https://simbad.sourceforge.net/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
98,X-plane,,,aerial,proprietary license,https://www.x-plane.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
99,RoboDK,,,robotics,proprietary license,https://robodk.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,
100,MATLAB Robotics Systems Toolbox,,,robotics,Proprietary Software License,https://www.mathworks.com/products/robotics.html,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,True,,,,,,,,,,
101,Simscape,,,physics,Proprietary Software License,https://www.mathworks.com/products/simscape.html,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,True,,,,,,,,,,
102,Roadrunner,,,domain,Proprietary Software License,https://www.mathworks.com/products/roadrunner.html,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,True,,,,,,,,,,
103,Reinforcement Learning Toolbox,,,ml,Proprietary Software License,https://www.mathworks.com/products/reinforcement-learning.html,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,True,,,,,,,,,,
104,RoSi,,,robotics,Proprietary Software License,https://www.robotec.ai/products,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,True,,,,,,,,,,
105,HoloOcean,byu-holoocean/HoloOcean,,domain,,https://byu-holoocean.github.io/holoocean-docs/,,,,,,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,
