,name,github_id,labels,category,license,homepage,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,doc_url,trending,gitlab_id,gitlab_url
63,RoboCasa,robocasa/robocasa,,ml,mit,https://robocasa.ai/,https://github.com/robocasa/robocasa,2024-05-11 11:14:03,2025-04-16 00:08:45,2025-03-18 14:56:21,46.0,2.0,69.0,11.0,14.0,25.0,98.0,726.0,,,,,,RoboCasa: Large-Scale Simulation of Everyday Tasks for Generalist Robots.,,,,11,True,3.0,,-1.0,,
64,ODE,thomasmarsh/ODE,[],physics,gnu-gpl and BSD-3-clause,http://www.ode.org/,https://github.com/thomasmarsh/ODE,2017-05-01 14:50:07,2024-01-17 15:31:06,2024-01-14 01:09:11,2099.0,,33.0,6.0,,1.0,1.0,161.0,,,,,,Open Dynamics Engine (ODE) github mirror from https://bitbucket.org/odedevs/ode.,,,34.0,11,True,3.0,,,,
65,CoppeliaSim core library,CoppeliaRobotics/coppeliaSimLib,[],robotics,gnu-gpl,http://coppeliarobotics.com/,https://github.com/CoppeliaRobotics/coppeliaSimLib,2019-09-27 09:21:56,2025-04-15 14:28:49,2025-04-15 14:28:42,904.0,23.0,40.0,7.0,5.0,3.0,18.0,114.0,,,,,,CoppeliaSim core library.,,,3.0,11,True,3.0,,,,
66,Arnold,arnold-benchmark/arnold,,ml,MIT,https://arnold-benchmark.github.io/,https://github.com/arnold-benchmark/arnold,2023-04-10 03:41:38,2025-03-16 18:21:08,2024-04-01 12:58:11,19.0,,11.0,5.0,,5.0,45.0,163.0,,,,,,[ICCV 2023] Official code repository for ARNOLD benchmark.,,,3.0,10,True,3.0,,,,
67,Robwork,,,robotics,apache-2,http://robwork.dk/,,2016-04-07 10:41:55,2016-04-07 10:41:55,,,,39.0,,,17.0,94.0,33.0,,,,,0.0,"RobWork is a collection of C++ libraries for simulation and control of robot systems, see http://robwork.dk To get..",,,,8,True,3.0,,,sdurobotics/RobWork,https://gitlab.com/sdurobotics/RobWork
68,Flightgear,,[],aerial-simulators,gnu-gpl2,https://www.flightgear.org/,,2015-03-04 07:33:36,2015-03-04 07:33:36,,,,32.0,,,154.0,97.0,42.0,,,,,0.0,FlightGear open-source flight simulator [flightgear.org](https://www.flightgear.org).,,,,7,True,3.0,,,flightgear/flightgear,https://gitlab.com/flightgear/flightgear
69,RotorTM,arplaboratory/RotorTM,[],aerial-simulators,GPL-3.0,https://github.com/arplaboratory/RotorTM,https://github.com/arplaboratory/RotorTM,2021-12-28 23:49:46,2024-06-09 13:19:43,2024-06-09 13:19:43,205.0,,14.0,3.0,8.0,2.0,2.0,67.0,,,,,,,,,3.0,6,True,3.0,,,,
70,NVIDIA Isaac Sim,,[],closed-robotics,NVIDIA Omniverse License Agreement,https://developer.nvidia.com/isaac/sim,,,,,,,,,,,,,,,,,,,,,,1,True,1.0,,,,
71,Matlab UAV Toolbox,,[],closed-robotics,MathWorks Software License Agreement,https://www.mathworks.com/products/uav.html,,,,,,,,,,,,,,,,,,,,,,1,True,1.0,,,,
72,Realflight,,[],aerial-simulators,proprietary software license,https://www.realflight.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,
73,Unity,,[],game,Unity Subscription Plans,https://unity.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,
74,RobotBuilder,,[],closed-robotics,Commercial software,https://new.abb.com/products/robotics/software-and-digital/robotstudio,,,,,,,,,,,,,,,,,,,,,,1,True,1.0,,,,
75,Vortex,,[],physics,EULA,https://www.cm-labs.com/en/vortex-studio/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,
76,Newton Dynamics,newton-dynamics/newton-dynamics,[],physics,zlib,http://newtondynamics.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,
77,Havok Physics,,[],physics,Per-title licensing model,https://www.havok.com/havok-physics/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,
78,Unreal Engine,,[],game,EULA,https://www.unrealengine.com/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,
79,Simbad,,,eol,GNU-gpl2,https://simbad.sourceforge.net/,,,,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,
80,CoppeliaSim,,[],closed-robotics,,http://coppeliarobotics.com/,,,,,,,,,,,,,,,,,,,,,,0,True,,,,,
81,Newton (Nvidia),,[],physics,,https://developer.nvidia.com/blog/announcing-newton-an-open-source-physics-engine-for-robotics-simulation/,,,,,,,,,,,,,,,,,,,,,,0,True,,,,,
82,HoloOcean,,,eol,,https://byu-holoocean.github.io/holoocean-docs/versionList.html,,,,,,,,,,,,,,,,,,,,,,0,True,,,,,
